hostname,ipaddress
HRMHR630-M01H-C-EG,10.40.128.66
HRMHR630-M02H-C-EG,10.40.128.67
HRMHR710-M01H-C-EG,10.40.128.98
HRMHR710-M02H-C-EG,10.40.128.99
HRMHR720-M01H-C-EG,10.40.128.106
HRMHR720-M02H-C-EG,10.40.128.107
HRMHR730-M01H-C-EG,10.40.128.114
HRMHR730-M02H-C-EG,10.40.128.115
HRMHR740-M01H-C-EG,10.40.128.122
HRMHR740-M02H-C-EG,10.40.128.123
HRMHR750-M01H-C-EG,10.40.128.130
HRMHR750-M02H-C-EG,10.40.128.131
Voice1704-M01H-C-EG,10.41.244.46
QTMIAPLZ-M01H-C-EG,10.40.62.122
QTMIAPLZ-M02H-C-EG,10.40.62.123
SMMAXIM-M01H-C-EG,10.40.62.2
SMHAYAH-M01H-C-EG,10.40.62.10
SMZNHGRD-M01H-C-EG,10.40.62.18
SMADHYTD-M01H-C-EG,10.40.62.26
SHLNDCB9-M01H-C-EG,10.40.165.250
SMTIDA-M01H-C-EG,10.40.62.42
SMAYQONA-M01H-C-EG,10.40.62.58
SMFMLCTY-M01H-C-EG,10.40.62.66
SMGHCB-M01H-C-EG,10.40.62.74
SMZHRTGM-M01H-C-EG,10.40.62.82
SHPRDC18-M01H-C-EG,10.40.62.90
SHHYTC12-M01H-C-EG,10.40.62.98
GRDSPCB-M01H-C-EG,10.40.62.50
Voice1806-M01H-C-EG,10.40.213.162
SMARMS20-M01H-C-EG,10.40.213.163
MTSHST19-M01H-C-EG,10.40.62.106
SHGACB19-M01H-C-EG,10.40.62.114
SHHGTC21-M01H-C-EG,10.40.62.130
SHHGTC21-M02H-C-EG,10.40.62.131
SHMSC22-M01H-C-EG,10.41.43.50
SHTALC11-M01H-C-EG,10.40.62.138
SMFLPCB-M01H-C-EG,10.40.62.154
SHMOSC23-M01H-C-EG,10.40.62.146
SHMMST24-M01H-C-EG,10.40.232.122
SHMMST26-M01H-C-EG,10.40.233.186
SHLMCB25-M01H-C-EG,10.40.233.178
SHMSTM27-M01H-C-EG,10.42.24.82
SHMSTM28-M01H-C-EG,10.42.24.90
SHMSTM29-M01Z-C-EG,10.42.48.226
SHMLMS30-M01Z-C-EG,10.42.237.218
Voice1258-M01H-C-EG,10.42.227.138
Voice1088-M01Z-C-EG,10.50.166.50
SHLMSC37-M01Z-C-EG,10.50.166.58
SHAMSC31-M01H-C-EG,10.50.65.170
SHMOSC40-M01Z-C-EG,10.60.59.186
SHMLSC42-M01Z-C-EG,10.60.61.106
