BET_Name,TEDataIP,Parent_Interface
NZHA2R5-M01H-C-EG,10.40.148.42,ge-0/0/8
NZHA2R5-M02H-C-EG,10.40.148.43,ge-0/0/8
NOZHCB25-M01H-C-EG,10.40.179.202,ge-0/1/0
NZHA2R2-M01H-C-EG,10.40.148.2,ge-0/1/1
NZHA2R2-M02H-C-EG,10.40.148.3,ge-0/1/1
NZHA2C33-M01H-C-EG,10.41.235.146,ge-0/1/9
NZ2C4C27-M01H-C-EG,10.40.179.218,ge-0/2/0
NZH2CB20-M01H-C-EG,10.40.85.250,ge-0/2/1
NOZHCB26-M01M-C-EG,10.40.179.210,ge-0/2/2
NZHA2C34-M01H-C-EG,10.41.235.154,ge-0/2/3
NZHA2C35-M01H-C-EG,10.41.235.162,ge-0/2/4
NZHA2C36-M01H-C-EG,10.41.235.170,ge-0/2/5
NZ2R3EXP-M01H-C-EG,10.40.148.114,ge-0/2/6
NOZH2C37-M01H-C-EG,10.40.90.162,ge-0/2/7
NOZH2C38-M01H-C-EG,10.40.90.170,ge-0/2/8
NZ2C4C28-M01H-C-EG,10.40.179.226,ge-0/2/9
NOZH2C39-M01H-C-EG,10.40.90.178,ge-0/3/2
NZHA2C29-M01H-C-EG,10.40.179.242,ge-0/3/3
NZHA2C30-M01H-C-EG,10.40.179.250,ge-0/3/4
NZHA2C31-M01H-C-EG,10.40.179.234,ge-0/3/5
NZHA2C32-M01H-C-EG,10.40.178.26,ge-0/3/6
NZH2C48-M01H-C-EG,10.42.62.250,ge-1/0/2
NZH2C49-M01H-C-EG,10.42.62.234,ge-1/0/3
NZH2C50-M01H-C-EG,10.42.63.2,ge-1/0/4
NZH2C51-M01H-C-EG,10.42.63.10,ge-1/0/5
NZH2C52-M01H-C-EG,10.42.63.18,ge-1/0/6
NZH2C53-M01H-C-EG,10.42.63.26,ge-1/0/7
NZH2C54-M01H-C-EG,10.42.63.34,ge-1/0/8
NZH2C55-M01H-C-EG,10.42.63.42,ge-1/0/9
NZH2CB41-M01H-C-EG,10.41.47.234,ge-1/1/1
NZH2CB42-M01H-C-EG,10.41.48.66,ge-1/1/2
NZH2CB43-M01H-C-EG,10.41.48.74,ge-1/1/3
NZHA2C44-M01H-C-EG,10.41.48.82,ge-1/1/4
NZHA2C45-M01H-C-EG,10.41.48.90,ge-1/1/5
NZHA2C46-M01H-C-EG,10.41.48.98,ge-1/1/6
NZH2C123-M01Z-C-EG,10.50.246.162,ge-1/1/7
NZH2C56-M01H-C-EG,10.42.63.50,ge-1/1/8
NZHA2R1-M01H-C-EG,10.40.148.26,irb
NZHA2R1-M02H-C-EG,10.40.148.27,irb
NZHA2R3-M01H-C-EG,10.40.148.34,irb
NZHA2R8-M01H-C-EG,10.40.148.58,irb
NZHA2R8-M02H-C-EG,10.40.148.59,irb
NZHA2R9-M01H-C-EG,10.40.148.66,irb
NZHA2R9-M02H-C-EG,10.40.148.67,irb
HDRACB27-M01H-ALX-EG,10.40.106.226,ge-0/0/0
SMOHAGHD-M01H-ALX-EG,10.40.16.2,ge-0/0/1
SMOHAGHD-M02H-ALX-EG,10.40.16.3,ge-0/0/1
HDGDCB-M01H-ALX-EG,10.40.16.26,ge-0/0/2
HDGDCB-M02H-ALX-EG,10.40.16.27,ge-0/0/2
ANTNDSHD-M01H-ALX-EG,10.40.16.10,ge-0/0/3
ANTNDSHD-M02H-ALX-EG,10.40.16.11,ge-0/0/3
HADRCB26-M01H-ALX-EG,10.40.16.162,ge-0/1/1
HADRCB26-M02H-ALX-EG,10.40.16.163,ge-0/1/1
HDRACB24-M01H-ALX-EG,10.40.16.170,ge-0/1/2
HDRACB05-M01H-ALX-EG,10.40.16.42,ge-0/1/3
HDRACB06-M01H-ALX-EG,10.40.16.50,ge-0/1/4
HADRACB7-M01H-ALX-E,10.40.16.58,ge-0/1/5
HADRACB7-M02H-ALX-EG,10.40.16.59,ge-0/1/5
HDRC8-M01H-ALX-EG,10.40.16.66,ge-0/1/6
HDRC8-M02H-ALX-EG,10.40.16.67,ge-0/1/6
HDRC9-M01H-ALX-EG,10.40.16.74,ge-0/1/7
HDRACB10-M01H-ALX-EG,10.40.16.82,ge-0/1/8
HDRC11-M01H-ALX-EG,10.40.16.90,ge-0/1/9
HDRC12-M01H-ALX-EG,10.40.16.98,ge-0/2/0
HDRC13-M01H-ALX-EG,10.40.16.106,ge-0/2/1
HDRACB14-M01H-ALX-EG,10.40.16.114,ge-0/2/2
HDRC15-M01H-ALX-EG,10.40.16.122,ge-0/2/3
HDRC16-M01H-ALX-EG,10.40.16.130,ge-0/2/4
HDRC17-M01H-ALX-EG,10.40.16.138,ge-0/2/5
HDRC18-M01H-ALX-EG,10.40.16.146,ge-0/2/6
HDRC19-M01H-ALX-EG,10.40.16.154,ge-0/2/7
HDRAC20-M01H-ALX-EG,10.40.67.138,ge-0/2/8
HDRAC20-M02H-ALX-EG,10.40.67.139,ge-0/2/8
HDRACB21-M01H-ALX-EG,10.40.67.146,ge-0/2/9
