_id,TE_ipaddress,TE_ifName
5f47fb0fbdb27375ccf3f498,10.40.35.42,ethernet0/9/0
5f47fb0fbdb27375ccf3f499,10.42.22.122,ethernet0/7/0
5f47fb0fbdb27375ccf3f49a,10.40.237.90,ethernet0/9/0
5f47fb0fbdb27375ccf3f49b,10.42.81.34,ethernet0/10/0
5f47fb0fbdb27375ccf3f49c,10.41.13.27,ethernet0/9/0
5f47fb0fbdb27375ccf3f49d,10.40.82.26,ethernet0/9/0
5f47fb0fbdb27375ccf3f49e,10.40.45.122,ethernet0/9/0
5f47fb0fbdb27375ccf3f49f,10.41.67.162,ethernet0/10/0
5f47fb0fbdb27375ccf3f4a0,10.42.96.82,ethernet0/9/0
5f47fb0fbdb27375ccf3f4a1,10.42.151.114,ethernet0/9/0
5f47fb0fbdb27375ccf3f4a4,10.42.119.186,ethernet0/9/0
5f47fb0fbdb27375ccf3f4a6,10.40.125.138,ethernet0/9/0
5f47fb0fbdb27375ccf3f4a7,10.40.251.18,ethernet0/10/0
5f47fb0fbdb27375ccf3f4a8,10.40.131.154,ethernet0/10/0
5f47fb0fbdb27375ccf3f4a9,10.40.187.18,ethernet0/9/0
5f47fb0fbdb27375ccf3f4aa,10.41.70.210,ethernet0/10/0
5f47fb0fbdb27375ccf3f4ac,10.42.174.106,ethernet0/9/0
5f47fb0fbdb27375ccf3f4ad,10.41.89.218,ethernet0/10/0
5f47fb0fbdb27375ccf3f4ae,10.40.69.178,ethernet0/9/0
5f47fb0fbdb27375ccf3f4b1,10.40.191.242,ethernet0/9/0
5f47fb0fbdb27375ccf3f4b2,10.40.129.50,ethernet0/10/0
5f47fb0fbdb27375ccf3f4b3,10.41.24.154,ethernet0/9/0
5f47fb0fbdb27375ccf3f4b4,10.41.70.90,ethernet0/9/0
5f47fb0fbdb27375ccf3f4b5,10.41.166.82,ethernet0/9/0
5f47fb0fbdb27375ccf3f4b6,10.40.236.50,ethernet0/9/0
5f47fb0fbdb27375ccf3f4b7,10.41.241.242,ethernet0/9/0
5f47fb0fbdb27375ccf3f4b8,10.40.50.18,ethernet0/10/1
5f47fb0fbdb27375ccf3f4bb,10.41.28.114,ethernet0/9/0
5f47fb0fbdb27375ccf3f4bc,10.40.100.178,ethernet0/10/0
5f47fb0fbdb27375ccf3f4bd,10.40.76.90,ethernet0/9/0
5f47fb0fbdb27375ccf3f4bf,10.40.87.170,ethernet0/9/0
5f47fb0fbdb27375ccf3f4c0,10.41.153.182,ethernet0/10/0
5f47fb0fbdb27375ccf3f4c1,10.40.113.74,ethernet0/9/0
5f47fb0fbdb27375ccf3f4c8,10.41.86.130,ethernet0/10/0
5f47fb0fbdb27375ccf3f4c9,10.42.151.58,ethernet0/10/0
5f47fb0fbdb27375ccf3f4ca,10.41.105.162,ethernet0/10/0
5f47fb0fbdb27375ccf3f4cc,10.42.140.42,ethernet0/10/0
5f47fb0fbdb27375ccf3f4cd,10.40.129.43,ethernet0/9/0
5f47fb0fbdb27375ccf3f4d0,10.41.105.138,ethernet0/10/0
5f47fb0fbdb27375ccf3f4d1,10.40.137.146,ethernet0/10/0
5f47fb0fbdb27375ccf3f4d2,10.40.162.130,ethernet0/10/0
5f47fb0fbdb27375ccf3f4d3,10.40.95.26,ethernet0/10/0
5f47fb0fbdb27375ccf3f4d4,10.40.65.114,ethernet0/9/1
5f47fb0fbdb27375ccf3f4d5,10.40.127.99,ethernet0/10/0
5f47fb0fbdb27375ccf3f4d6,10.41.105.91,ethernet0/9/0
5f47fb0fbdb27375ccf3f4d9,10.41.13.210,ethernet0/9/0
5f47fb0fbdb27375ccf3f4da,10.42.201.2,ethernet0/9/0
5f47fb0fbdb27375ccf3f4db,10.40.198.82,ethernet0/9/0
5f47fb0fbdb27375ccf3f4dc,10.41.3.178,ethernet0/9/0
5f47fb0fbdb27375ccf3f4dd,10.40.28.66,ethernet0/9/0
5f47fb0fbdb27375ccf3f4df,10.40.81.146,ethernet0/9/0
5f47fb0fbdb27375ccf3f4e3,10.41.247.194,ethernet0/9/0
5f47fb0fbdb27375ccf3f4e4,10.40.162.154,ethernet0/10/1
5f47fb0fbdb27375ccf3f4e5,10.41.216.226,ethernet0/10/0
5f47fb0fbdb27375ccf3f4e6,10.41.107.202,ethernet0/9/0
5f47fb0fbdb27375ccf3f4e7,10.40.128.91,ethernet0/9/0
5f47fb0fbdb27375ccf3f4e8,10.42.213.122,ethernet0/9/0
